"Tourism and travel","EMU19","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,863,1028,1083,1867,2105
"Tourism and travel","EMU19","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,2150,2114,2038,2172,2533
"Tourism and travel","EU28","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,1876,2046,2139,2928,3151
"Tourism and travel","EU28","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,3205,3054,3315,3502,3921
"Tourism and travel","EU25","Exports of Services (Euro Million)",2293,2334,2661,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","EU25","Imports of Services (Euro Million)",2849,2832,3153,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","EU27","Exports of Services (Euro Million)",0,0,0,2886,2987,2916,2262,1902,1939,0,0,0,0,0
"Tourism and travel","EU27","Imports of Services (Euro Million)",0,0,0,3478,3904,4405,3627,3491,3315,0,0,0,0,0
"Tourism and travel","Europe (3)","Exports of Services (Euro Million)",2409,2407,2738,2952,3053,2985,2268,1916,1942,1878,2050,2151,2965,3188
"Tourism and travel","Europe (3)","Imports of Services (Euro Million)",3079,2832,3154,3479,3905,4518,3717,3617,3395,3257,3112,3358,3549,3954
"Tourism and travel","North America (1)","Exports of Services (Euro Million)",785,769,734,850,854,682,722,696,682,745,825,939,597,817
"Tourism and travel","North America (1)","Imports of Services (Euro Million)",649,594,806,865,1041,1193,844,805,693,668,687,725,781,875
"Tourism and travel","South America (1)","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","South America (1)","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Not geographically allocated","Exports of Services (Euro Million)",135,215,229,286,349,460,414,382,336,350,442,515,710,630
"Tourism and travel","Not geographically allocated","Imports of Services (Euro Million)",0,753,868,1034,1295,1272,977,878,673,627,796,674,732,723
"Communications","All countries and international organisations","Exports of Services (Euro Million)",622,343,432,432,516,597,426,386,479,569,522,569,684,643
"Communications","All countries and international organisations","Imports of Services (Euro Million)",757,622,709,772,819,1065,995,1119,977,1087,1049,984,1030,1095
"Communications","All offshore centres","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,8,0,0,0,0,0
"Communications","All offshore centres","Imports of Services (Euro Million)",0,0,2,1,2,1,0,1,0,0,0,0,0,0
